Timestamp,Text,Sentiment

2020-10-11 04:15:18,thinking about tenet and  protagoneil, Neutral

2020-10-11 04:15:14,Tenet the 2nd time makes so much more sense....especially cuz I could actually hear words this time., Neutral

2020-10-11 04:15:10,@Ocheryllynne @Ivoyst @GretaThunberg You watched Tenet?, Neutral

2020-10-11 04:14:01,"Just watched Tenet. For the first half of the film I had no idea what was going on. For the second half, on going was what idea no had I. https://t.co/E1LEop2Mg9", Negative

2020-10-11 04:11:17,Vote no on prop 22 and know that Tenet is a terrible movie, Negative

2020-10-11 04:11:10,@statcap @hojpg2 what is tenet about, Neutral

2020-10-11 04:09:48,Tenet = great movie, Positive

2020-10-11 04:09:23,who has that good tenet link 🤭, Neutral

2020-10-11 04:09:07,Tenet is a terrible movie that isn't worth your time even if you can see it without risking your life. https://t.co/yp9aNhK2PV, Negative

2020-10-11 04:08:56,Tenet was Inception X 10 on the confusing scale......still fire tho, Positive

2020-10-11 04:08:51,"Yeah so I heard mixed things about Tenet, I'm not gonna sit in a movie theater with a mask on for two and a half hours for that  The only movies that would make me do that right now are Kimetsu no Yaiba: Mugen Train and Lupin the Third: The First https://t.co/sIvYHmdudL", Neutral

2020-10-11 04:08:08,Tenet was not fire enough to be guarding it the way they guarding it. It’s a great value Inception., Neutral

2020-10-11 04:07:50,Hard to pardon: why Tenet's muffled dialogue is a very modern problem https://t.co/GXeGftb7P7, Negative

2020-10-11 04:07:45,"That's was heat, the revelations were great and perfectly timed  Really good editing on the scenes, really beautiful and easy to follow  Terrible sound mixing but it got better as the movie progressed  Surprisingly beautiful with the colors  Good movie Tenet was", Positive

2020-10-11 04:07:14,@LaurenWitzkeDE This is the central tenet of modern fascism., Neutral

2020-10-11 04:07:02,Christopher Nolan: Tenet | Movies | Metropolis Magazine Japan https://t.co/s8BwBbjGaN https://t.co/7jRSMnfICt, Neutral

2020-10-11 04:04:21,#MOV_LOG Tenet Midway Mulan Stargirl Artemis Fowl  #TVS_NOW  The World According to Jeff Goldblum S1 Criminal Minds S10 Tom Clancy’s Jack Ryan S1, Neutral

2020-10-11 04:02:15,Re watched tenet again. Best movie experience! God it thrills me so much, Positive

2020-10-11 04:01:41,anyone else think tenet was funny? bc i was giggling at the people walking backwards PLS, Neutral

2020-10-11 04:01:12,whoever mixed the sound for tenet did an awful job lmao, Negative

2020-10-11 04:01:01,Just saw Tenet now watching Rango for the first time; possibly the greatest night of cinema in this young man’s life., Positive

2020-10-11 04:00:06,"It's showtime : Cinema halls gear  up to welcome viewers   #KhaaliPeeli : 1st film to hit theatres post-lockdown  #MySpy , #BuntyAurBubli2 , tenet  to be released soon   #IshaanKahtter #AnanyaPanday #SaifAliKhan #RaniMukerji #ShaliniPandey #SiddhantChaturvedi https://t.co/mtIZBZkiaz", Neutral

2020-10-11 03:59:41,@tylerdrewscott yo TeneT ? WTF! How did Nolan come up with that???, Negative

2020-10-11 03:58:51,"of The #NerveDJs Now Playing @trvisXX - The Plan (From the Motion Picture ""TENET"") On @NerveDJsRadio The Music Movaz! Get Your Song in Rotation Today!  Call 434-637-8357 https://t.co/C2sw5k2OdH", Neutral

2020-10-11 03:58:42,"@ChildFragments According to the logic of Tenet, perhaps you already have but don’t know it yet.", Neutral

2020-10-11 03:58:28,@TonyBakercomedy Have you seen Tenet yet?   I'm still trying to figure that movie out and it's been a few weeks lol, Negative

2020-10-11 03:58:23,Only taking style inspo from Neil in Tenet from now on get ready for a lot of linen blazers and silk scarves, Neutral

2020-10-11 03:57:11,"@hilaryr @hughhewitt “Broken every tenet...” Do you idiots hear yourselves? Satan isn’t as bad as you make a human being out to be. Catholicism is strange to me anyway, (why do you need a king/pope?) but I thought we shared Christianity.", Neutral

2020-10-11 03:56:58,*friend &amp; I go watch Tenet* Me: I liked it Fr: it was confusing... Me: eh? Fr: ...and too violent Me: fair *go have dinner with other friends* *get home* Fr: *turns on Fargo S4; gunshots every minute* Me: *mathface.jpg*, Positive

2020-10-11 03:56:52,was gonna ask my parents and sister to rewatch tenet in theatres w me tomorrow but i know they’re gonna say no cause i rewatched inception w my mom and my sister in theatres and neither of them understood it but my mom thought it was cool https://t.co/pejlGpM1M7, Neutral

2020-10-11 03:56:25,@RepRiggleman @Keep9Amendment Court Packing has been the central tenet of GOP strategy for decades. You packed. Now we should rebalance to reflect the will of the majority., Neutral

2020-10-11 03:55:40,"@AngrierWHStaff @reeskylr The most important tenet in Medicine is  to "" do no harm."" This action alone violates that. He should lose his license like he's lost his soul.", Neutral

2020-10-11 03:54:20,Tenet is a mindfuck, Negative

2020-10-11 03:53:19,My turn #Tenet would I understand it?! 🤔😝 https://t.co/cBKqaQbAYR, Neutral

2020-10-11 03:53:14,If I curated a Film Festival:  Opener - Tenet: The IMAX Experience  Centerpiece - Tenet: The IMAX Experience in 70mm Film Closer - Tenet: Special Engagement 70mm  LINEUP Tenet Tenet (in Dolby Atmos) Tenet: Special Engagement 35mm Tenet (D-BOX) Tenet (4DX) Tenet (Dolby Cinema) Ten https://t.co/itWF8uCvm0, Positive

2020-10-11 03:49:37,!hctaw nuf a llits tub dias enoyna gniht ydoolb a reah t'ndlouc #TENET# couldn't hear a bloody thing anyone said but still a fun watch!, Neutral

2020-10-11 03:46:43,"Almost all promotional clocks are set to 10:10 to promote the manufacturer logo, as this Snopes article notes. It's not some secret signal to random conspiracy theorists.  https://t.co/BJwEbW4uTS", Neutral

2020-10-11 03:46:34,Tenet is the worst thing that happened in 2020, Negative

2020-10-11 03:44:41,"My only complaint for Tenet halfway through, is the same one I had when I first saw Interstellar - Chris Nolan’s sound editor did not do a good job making dialogue understandable above background noise and music. They fixed it for Interstellar - I hope they do for this one, too.", Positive

2020-10-11 03:44:18,Soooo no one got that TENET bootleg???, Neutral

2020-10-11 03:42:58,"We are getting so precious few major motion pictures in 2020, they’re not to be taken for granted.   And yet still, Tenet is inexcusably terrible.", Neutral

2020-10-11 03:42:42,"Travis Scott - The Plan (From the Motion Picture ""TENET"") (Dirty)", Neutral

2020-10-11 03:42:21,waiting for tenet to get p1r@t3d in hd so i can finally serve interstellar and tenet double feature sob session, Neutral

2020-10-11 03:41:45,I watch TENET so I know whats going on here. https://t.co/LqSV3N9MiW, Neutral

2020-10-11 03:41:09,"Just saw #Tenet. 🤯 Chris Nolan is if Michael Bay &amp; Andrei Tarkovsky had a baby! He not only sculpts through time, he also deconstructs time (and our own subjectivity as spectators) in the process. Time is clearly a major theme in most (if not all) of his films.", Positive

2020-10-11 03:39:15,"@RarefiedLevin @SonnyBunch @TENETFilm Honestly was good not hearing people talk during the film.. Not sure if it was the lack of crowd, or the fact that Tenet is the loudest movie in history.", Neutral

2020-10-11 03:38:54,"Which film took down #TENET ?  Why, it was #THEWARWITHGRANDPA  101 STUDIOS' Robert De Niro flick fortified $1M on Friday in 2,250 locations, which should be good enough to become the #1 film this weekend. https://t.co/pdIvxKLIx7", Neutral

